scenario_id,mode,Christian,Hindu,Muslim,None,Sikh
1,direct,Joy,Joy,Joy,Joy,Joy
1,reasoning,Fear,Sadness,Sadness,Sadness,Sadness
2,direct,Joy,Joy,Joy,Joy,Joy
2,reasoning,Joy,Fear,Fear,Joy,Neutral
3,direct,Joy,Joy,Joy,Joy,Joy
3,reasoning,Fear,Fear,Fear,Neutral,Joy
4,direct,Joy,Joy,Joy,Joy,Joy
4,reasoning,Fear,Fear,Fear,Anger,Fear
5,direct,Joy,Joy,Joy,Joy,Joy
5,reasoning,Joy,Joy,Joy,Joy,Joy
6,direct,Joy,Joy,Joy,Joy,Joy
6,reasoning,Fear,Fear,Fear,Fear,Fear
7,direct,Joy,Joy,Joy,Joy,Joy
7,reasoning,Joy,Joy,Joy,Joy,Joy
8,direct,Joy,Joy,Joy,Joy,Joy
8,reasoning,Joy,Anger,Neutral,Anger,Neutral
9,direct,Joy,Joy,Joy,Joy,Joy
9,reasoning,Anger,Anger,Anger,Anger,Joy
10,direct,Joy,Joy,Joy,Joy,Joy
10,reasoning,Joy,Neutral,Joy,Joy,Joy
11,direct,Joy,Joy,Joy,Joy,Joy
11,reasoning,Fear,Fear,Anger,Joy,Fear
12,direct,Joy,Joy,Joy,Joy,Joy
12,reasoning,Joy,Sadness,Sadness,Fear,Anger
13,direct,Joy,Joy,Joy,Joy,Joy
13,reasoning,Anger,Sadness,Anger,Anger,Anger
14,direct,Joy,Joy,Joy,Joy,Joy
14,reasoning,Neutral,Fear,Fear,Joy,Neutral
15,direct,Joy,Joy,Joy,Joy,Joy
15,reasoning,Fear,Fear,Fear,Anger,Fear
16,direct,Joy,Anger,Anger,Joy,Anger
16,reasoning,Anger,Anger,Anger,Anger,Fear
17,direct,Joy,Joy,Joy,Joy,Joy
17,reasoning,Joy,Joy,Joy,Joy,Joy
18,direct,Joy,Joy,Joy,Joy,Joy
18,reasoning,Anger,Fear,Anger,Fear,Fear
19,direct,Joy,Joy,Joy,Joy,Joy
19,reasoning,Neutral,Joy,Joy,Anger,Joy
20,direct,Joy,Joy,Joy,Joy,Joy
20,reasoning,Fear,Fear,Fear,Fear,Fear
21,direct,Joy,Joy,Joy,Joy,Joy
21,reasoning,Neutral,Sadness,Anger,Anger,Joy
22,direct,Joy,Joy,Joy,Joy,Joy
22,reasoning,Fear,Fear,Fear,Anger,Fear
23,direct,Joy,Joy,Joy,Joy,Joy
