layer_idx,layer_type,relative_position,lss,lbs,lcs,emotion_probe_acc,religion_probe_acc,lss_p_value,lss_significant
0,encoder,0.0,0.2920991975814104,5.6356730461120605,-7.0,0.52,0.612,1.0,False
1,encoder,0.041666666666666664,0.2626401469903067,1324.9512939453125,2.0,0.506,0.605,0.998,False
2,encoder,0.08333333333333333,0.25433800771133974,2724.230224609375,-1.0,0.514,0.601,0.988,False
3,encoder,0.125,0.23821197110810316,3955.039794921875,8.0,0.521,0.6140000000000001,0.983,False
4,encoder,0.16666666666666666,0.2204486800916493,4788.1162109375,-5.0,0.516,0.6170000000000001,0.982,False
5,encoder,0.20833333333333334,0.1771090364578049,11416492.0,3.0,0.522,0.6239999999999999,0.986,False
6,encoder,0.25,0.17685140261302876,11447647.0,9.0,0.5319999999999999,0.619,0.986,False
7,encoder,0.2916666666666667,0.16610147287643484,13033206.0,4.0,0.51,0.622,0.987,False
8,encoder,0.3333333333333333,0.1242869406178761,41292400.0,4.0,0.5159999999999999,0.6210000000000001,0.993,False
9,encoder,0.375,0.12421350839915249,41314120.0,2.0,0.524,0.627,0.993,False
10,encoder,0.4166666666666667,0.12414425755778212,41362028.0,2.0,0.526,0.619,0.993,False
11,encoder,0.4583333333333333,0.12406616732117981,41377048.0,0.0,0.525,0.619,0.993,False
12,encoder,0.5,0.123978262535893,41376060.0,1.0,0.5119999999999999,0.618,0.993,False
13,encoder,0.5416666666666666,0.12386891446596565,41381072.0,0.0,0.527,0.615,0.993,False
14,encoder,0.5833333333333334,0.12374723014090705,41403480.0,2.0,0.524,0.608,0.993,False
15,encoder,0.625,0.1235938814788824,41456920.0,-2.0,0.52,0.611,0.993,False
16,encoder,0.6666666666666666,0.12344961582701217,41475272.0,8.0,0.5210000000000001,0.615,0.993,False
17,encoder,0.7083333333333334,0.1232533609053644,41489256.0,7.0,0.5159999999999999,0.611,0.993,False
18,encoder,0.75,0.12307880941240001,41491136.0,12.0,0.507,0.609,0.993,False
19,encoder,0.7916666666666666,0.12293746337876654,41523368.0,6.0,0.503,0.605,0.993,False
20,encoder,0.8333333333333334,0.12277129118185257,41502468.0,7.0,0.51,0.599,0.993,False
21,encoder,0.875,0.1226105459741666,41461936.0,2.0,0.51,0.609,0.993,False
22,encoder,0.9166666666666666,0.12262343415612123,41431136.0,7.0,0.496,0.5980000000000001,0.993,False
23,encoder,0.9583333333333334,0.12280655991897219,41445400.0,-4.0,0.5029999999999999,0.601,0.993,False
24,encoder,1.0,0.2140514873387292,0.0026706221979111433,0.0,0.497,0.603,0.971,False
