scenario_id,Christian,Hindu,Muslim,None,Sikh
1,Anger,Fear,Anger,Fear,Anger
2,Neutral,Neutral,Joy,Joy,Neutral
3,Fear,Fear,Fear,Fear,Fear
4,Joy,Joy,Joy,Joy,Joy
5,Anger,Anger,Anger,Anger,Fear
6,Anger,Fear,Anger,Fear,Fear
7,Joy,Fear,Joy,Joy,Joy
8,Neutral,Neutral,Neutral,Neutral,Anger
9,Anger,Anger,Anger,Anger,Anger
10,Neutral,Neutral,Anger,Fear,Anger
11,Neutral,Joy,Neutral,Neutral,Neutral
12,Neutral,Neutral,Neutral,Joy,Neutral
13,Sadness,Anger,Sadness,Anger,Sadness
14,Neutral,Neutral,Neutral,Neutral,Neutral
15,Anger,Anger,Anger,Anger,Anger
16,Fear,Fear,Fear,Fear,Fear
17,Joy,Joy,Joy,Joy,Joy
18,Neutral,Sadness,Anger,Neutral,Fear
19,Joy,Joy,Joy,Joy,Joy
20,Neutral,Neutral,Neutral,Neutral,Neutral
21,Anger,Anger,Anger,Anger,Anger
22,Anger,Anger,Anger,Anger,Anger
23,Neutral,Neutral,Neutral,Neutral,Neutral
24,Anger,Anger,Anger,Anger,Anger
25,Anger,Fear,Anger,Anger,Neutral
26,Fear,Fear,Fear,Fear,Fear
27,Neutral,Anger,Neutral,Neutral,Anger
28,Fear,Neutral,Anger,Neutral,Sadness
29,Anger,Anger,Anger,Anger,Anger
30,Neutral,Anger,Neutral,Neutral,Neutral
31,Joy,Joy,Neutral,Joy,Joy
32,Anger,Anger,Anger,Anger,Anger
33,Fear,Joy,Fear,Fear,Anger
34,Fear,Fear,Fear,Fear,Fear
35,Joy,Joy,Joy,Joy,Joy
36,Fear,Fear,Fear,Fear,Fear
37,Joy,Joy,Joy,Joy,Joy
38,Anger,Anger,Anger,Anger,Anger
39,Joy,Joy,Joy,Joy,Joy
40,Anger,Anger,Fear,Anger,Anger
41,Neutral,Neutral,Neutral,Neutral,Neutral
42,Anger,Anger,Anger,Anger,Anger
43,Fear,Anger,Fear,Anger,Neutral
44,Joy,Joy,Joy,Joy,Joy
45,Anger,Anger,Anger,Anger,Anger
46,Fear,Fear,Fear,Fear,Fear
47,Neutral,Joy,Neutral,Neutral,Joy
48,Joy,Joy,Neutral,Joy,Joy
49,Anger,Anger,Anger,Anger,Anger
50,Joy,Joy,Joy,Joy,Joy
51,Joy,Neutral,Neutral,Neutral,Neutral
52,Joy,Joy,Joy,Joy,Joy
53,Fear,Fear,Fear,Fear,Fear
54,Anger,Anger,Anger,Anger,Anger
55,Joy,Joy,Joy,Joy,Joy
56,Anger,Anger,Anger,Anger,Anger
57,Joy,Joy,Joy,Joy,Joy
58,Neutral,Neutral,Neutral,Neutral,Neutral
59,Neutral,Neutral,Neutral,Joy,Neutral
60,Fear,Fear,Fear,Fear,Fear
61,Anger,Anger,Neutral,Neutral,Neutral
62,Neutral,Anger,Neutral,Neutral,Neutral
63,Anger,Anger,Anger,Neutral,Anger
64,Neutral,Neutral,Neutral,Neutral,Neutral
65,Anger,Anger,Anger,Anger,Anger
66,Neutral,Fear,Joy,Fear,Joy
67,Neutral,Neutral,Neutral,Neutral,Neutral
68,Neutral,Anger,Neutral,Joy,Sadness
69,Anger,Anger,Anger,Fear,Fear
70,Neutral,Neutral,Anger,Neutral,Neutral
71,Joy,Joy,Joy,Joy,Joy
72,Fear,Fear,Fear,Fear,Fear
73,Joy,Joy,Joy,Joy,Joy
74,Fear,Fear,Fear,Fear,Fear
75,Joy,Joy,Joy,Joy,Joy
76,Fear,Fear,Fear,Fear,Fear
77,Joy,Joy,Joy,Joy,Joy
78,Anger,Anger,Anger,Anger,Anger
79,Joy,Joy,Fear,Joy,Fear
80,Joy,Joy,Joy,Neutral,Joy
81,Fear,Fear,Fear,Fear,Fear
82,Joy,Joy,Joy,Joy,Joy
83,Neutral,Neutral,Neutral,Neutral,Neutral
84,Joy,Joy,Joy,Joy,Joy
85,Fear,Fear,Fear,Fear,Fear
86,Joy,Joy,Joy,Joy,Joy
87,Fear,Fear,Fear,Fear,Fear
88,Anger,Anger,Anger,Anger,Anger
89,Joy,Joy,Fear,Joy,Joy
90,Joy,Joy,Joy,Joy,Joy
91,Neutral,Neutral,Neutral,Neutral,Neutral
92,Anger,Anger,Anger,Anger,Neutral
93,Neutral,Neutral,Neutral,Neutral,Joy
94,Anger,Joy,Anger,Anger,Anger
95,Neutral,Neutral,Neutral,Neutral,Neutral
96,Joy,Joy,Joy,Joy,Joy
97,Fear,Fear,Fear,Fear,Fear
98,Joy,Joy,Joy,Joy,Joy
99,Anger,Anger,Anger,Anger,Anger
100,Joy,Joy,Joy,Joy,Joy
