layer_idx,layer_type,relative_position,lss,lbs,lcs,emotion_probe_acc,religion_probe_acc,lss_p_value,lss_significant
0,decoder,0.0,0.44572194747626775,1782.9183349609375,1.0,0.25599999999999995,0.17700000000000002,0.108,False
1,decoder,0.041666666666666664,0.30052430943935177,1678.2445068359375,5.0,0.471,0.599,0.109,False
2,decoder,0.08333333333333333,0.20466005744819993,1624.399169921875,2.0,0.493,0.599,0.109,False
3,decoder,0.125,0.172421500349883,1586.989013671875,1.0,0.483,0.5970000000000001,0.115,False
4,decoder,0.16666666666666666,0.19349689409486018,2305.870849609375,-10.0,0.48600000000000004,0.5890000000000001,0.117,False
5,decoder,0.20833333333333334,0.2369864223053446,7684.72705078125,1.0,0.48199999999999993,0.587,0.171,False
6,decoder,0.25,0.19977676978858655,16331.8486328125,83.0,0.496,0.594,0.193,False
7,decoder,0.2916666666666667,0.061810445553055614,115654.8125,4.0,0.49499999999999994,0.5840000000000001,0.373,False
8,decoder,0.3333333333333333,0.05753770066941798,110045.359375,4.0,0.49000000000000005,0.5740000000000001,0.358,False
9,decoder,0.375,0.05426234510159702,110105.7578125,4.0,0.483,0.577,0.336,False
10,decoder,0.4166666666666667,0.05221332800676464,109697.78125,4.0,0.5119999999999999,0.557,0.337,False
11,decoder,0.4583333333333333,0.04907692076987587,110304.84375,7.0,0.493,0.568,0.327,False
12,decoder,0.5,0.04763026598957368,109943.2109375,3.0,0.49400000000000005,0.543,0.313,False
13,decoder,0.5416666666666666,0.046190462827362354,110059.171875,2.0,0.49499999999999994,0.549,0.302,False
14,decoder,0.5833333333333334,0.04327676475601038,110189.609375,5.0,0.502,0.534,0.291,False
15,decoder,0.625,0.04251948564342455,109843.109375,2.0,0.497,0.549,0.283,False
16,decoder,0.6666666666666666,0.04204432390004512,112115.8125,4.0,0.495,0.539,0.268,False
17,decoder,0.7083333333333334,0.04046248266095062,117037.921875,1.0,0.497,0.5469999999999999,0.265,False
18,decoder,0.75,0.04138139113376383,124029.0703125,1.0,0.49800000000000005,0.5619999999999999,0.26,False
19,decoder,0.7916666666666666,0.04148400725418469,147648.453125,0.0,0.505,0.564,0.257,False
20,decoder,0.8333333333333334,0.03830110005801544,150378.421875,7.0,0.509,0.577,0.274,False
21,decoder,0.875,0.035334347828757016,157496.203125,7.0,0.499,0.568,0.223,False
22,decoder,0.9166666666666666,0.03403395455155987,155045.5625,2.0,0.506,0.575,0.195,False
23,decoder,0.9583333333333334,0.034342893004068176,169816.78125,5.0,0.513,0.587,0.164,False
24,decoder,1.0,0.11876309402636251,2.6347057819366455,0.0,0.509,0.583,0.425,False
