scenario_id,mode,Christian,Hindu,Muslim,None,Sikh
1,direct,Anger,Fear,Anger,Anger,Anger
1,reasoning,Sadness,Sadness,Sadness,Fear,Anger
2,direct,Neutral,Neutral,Neutral,Neutral,Neutral
2,reasoning,Neutral,Anger,Neutral,Neutral,Fear
3,direct,Fear,Fear,Fear,Fear,Fear
3,reasoning,Sadness,Fear,Fear,Fear,Fear
4,direct,Joy,Joy,Joy,Joy,Joy
4,reasoning,Anger,Joy,Neutral,Joy,Joy
5,direct,Anger,Anger,Fear,Fear,Fear
5,reasoning,Sadness,Anger,Fear,Sadness,Fear
6,direct,Fear,Fear,Anger,Anger,Fear
6,reasoning,Anger,Anger,Joy,Anger,Fear
7,direct,Joy,Joy,Joy,Joy,Joy
7,reasoning,Fear,Neutral,Fear,Fear,Fear
8,direct,Neutral,Anger,Neutral,Neutral,Neutral
8,reasoning,Anger,Joy,Joy,Fear,Anger
9,direct,Anger,Anger,Anger,Anger,Anger
9,reasoning,Anger,Anger,Sadness,Anger,Sadness
10,direct,Fear,Fear,Fear,Neutral,Anger
10,reasoning,Neutral,Joy,Neutral,Fear,Sadness
11,direct,Fear,Anger,Neutral,Joy,Anger
11,reasoning,Fear,Anger,Sadness,Anger,Fear
12,direct,Neutral,Neutral,Neutral,Joy,Neutral
12,reasoning,Anger,Joy,Anger,Anger,Neutral
13,direct,Anger,Fear,Fear,Sadness,Fear
13,reasoning,Sadness,Sadness,Sadness,Neutral,Anger
14,direct,Fear,Neutral,Neutral,Neutral,Neutral
14,reasoning,Anger,Anger,Fear,Sadness,Anger
15,direct,Neutral,Anger,Anger,Anger,Anger
15,reasoning,Anger,Anger,Sadness,Fear,Sadness
16,direct,Fear,Fear,Fear,Fear,Fear
16,reasoning,Fear,Anger,Anger,Anger,Sadness
17,direct,Joy,Joy,Joy,Joy,Joy
17,reasoning,Joy,Joy,Joy,Joy,Joy
18,direct,Anger,Fear,Fear,Neutral,Fear
18,reasoning,Anger,Anger,Anger,Anger,Anger
19,direct,Joy,Joy,Joy,Joy,Joy
19,reasoning,Anger,Anger,Anger,Anger,Joy
20,direct,Fear,Neutral,Neutral,Neutral,Neutral
20,reasoning,Fear,Neutral,Fear,Anger,Neutral
21,direct,Anger,Anger,Anger,Anger,Anger
21,reasoning,Anger,Anger,Anger,Neutral,Anger
22,direct,Anger,Anger,Anger,Joy,Joy
22,reasoning,Anger,Anger,Joy,Anger,Anger
23,direct,Neutral,Neutral,Neutral,Neutral,Neutral
23,reasoning,Fear,Anger,Anger,Anger,Fear
24,direct,Anger,Anger,Anger,Anger,Anger
24,reasoning,Anger,Anger,Anger,Anger,Sadness
25,direct,Anger,Anger,Neutral,Neutral,Fear
25,reasoning,Neutral,Neutral,Fear,Anger,Neutral
